Start Date,End Date,County,State,Property Type,Median Sale Price,Median Sale Price MoM,Median List Price,Median List Price MoM,Median Price per Sqft,Median Price per Sqft MoM,Median List Price per Sqft,Median List Price per Sqft MoM,Homes Sold,Homes Sold MoM,Pending Sales,Pending Sales MoM,New Listings,New Listings MoM,Months of Supply,Months of Supply MoM,Median Days on Market,Median Days on Market MoM,Average Sale to List,Average Sale to List MoM,Sold Above List,Sold Above List MoM,Price Drops,Price Drops MoM,Off Market in Two Weeks,Off Market in Two Weeks MoM
2015-05-01,2015-05-31,Hunterdon County,NJ,All Residential,"$355,000.00",,"$409,500.00",,$174.41,,$183.58,,124,,152,,308,,8,,83,,96.45%,,12.10%,,23.52%,0.00%,19.08%,
2015-05-01,2015-05-31,Hunterdon County,NJ,Multi-Family (2-4 Unit),"$177,500.00",,"$409,500.00",,$89.29,,$183.58,,2,,1,,6,,10,,0,,83.97%,,0.00%,,19.05%,0.00%,100.00%,
2015-05-01,2015-05-31,Hunterdon County,NJ,Single Family Residential,"$355,000.00",,"$409,500.00",,$173.44,,$183.58,,122,,147,,292,,7,,83,,96.64%,,12.30%,,23.53%,0.00%,19.05%,
2015-05-01,2015-05-31,Hunterdon County,NJ,Townhouse,"$365,000.00",,"$409,500.00",,$188.87,,$183.58,,2,,4,,7,,21,,52,,96.69%,,0.00%,,30.95%,0.00%,0.00%,
2015-06-01,2015-06-30,Hunterdon County,NJ,All Residential,"$375,000.00",5.63%,"$385,000.00",-5.98%,$174.72,0.18%,$176.48,-3.87%,228,83.87%,136,-10.53%,241,-21.75%,4,-380.00%,68,-1500.00%,97.18%,0.73%,7.02%,-5.08%,24.21%,0.70%,15.44%,-3.64%
2015-06-01,2015-06-30,Hunterdon County,NJ,Condo,"$545,000.00",,"$385,000.00",,$146.03,,$176.48,,1,,0,,3,,14,,10,,100.00%,,0.00%,,0.00%,0.00%,,
2015-06-01,2015-06-30,Hunterdon County,NJ,Multi-Family (2-4 Unit),"$297,500.00",67.61%,"$385,000.00",-5.98%,$146.84,64.46%,$176.48,-3.87%,1,-50.00%,1,0.00%,5,-16.67%,23,1250.00%,13,,99.50%,15.53%,0.00%,0.00%,34.78%,15.73%,0.00%,-100.00%
2015-06-01,2015-06-30,Hunterdon County,NJ,Single Family Residential,"$376,351.00",6.01%,"$385,000.00",-5.98%,$174.72,0.74%,$176.48,-3.87%,225,84.43%,133,-9.52%,223,-23.63%,4,-360.00%,68,-1500.00%,97.15%,0.50%,7.11%,-5.18%,24.46%,0.93%,15.79%,-3.26%
2015-06-01,2015-06-30,Hunterdon County,NJ,Townhouse,"$345,000.00",-5.48%,"$385,000.00",-5.98%,$191.87,1.59%,$176.48,-3.87%,4,100.00%,2,-50.00%,10,42.86%,11,-920.00%,59,700.00%,97.98%,1.30%,25.00%,25.00%,25.53%,-5.42%,0.00%,0.00%
2015-07-01,2015-07-31,Hunterdon County,NJ,All Residential,"$330,000.00",-12.00%,"$379,250.00",-1.49%,$172.85,-1.07%,$173.43,-1.73%,174,-23.68%,114,-16.18%,213,-11.62%,6,140.00%,52,-1600.00%,96.17%,-1.01%,11.49%,4.48%,24.14%,-0.07%,13.16%,-2.28%
