Start Date,End Date,County,State,Property Type,Median Sale Price,Median Sale Price MoM,Median List Price,Median List Price MoM,Median Price per Sqft,Median Price per Sqft MoM,Median List Price per Sqft,Median List Price per Sqft MoM,Homes Sold,Homes Sold MoM,Pending Sales,Pending Sales MoM,New Listings,New Listings MoM,Months of Supply,Months of Supply MoM,Median Days on Market,Median Days on Market MoM,Average Sale to List,Average Sale to List MoM,Sold Above List,Sold Above List MoM,Price Drops,Price Drops MoM,Off Market in Two Weeks,Off Market in Two Weeks MoM
2015-05-01,2015-05-31,Bergen County,NJ,All Residential,"$420,000.00",,"$475,000.00",,$234.59,,$261.89,,674,,874,,1730,,8,,69,,96.28%,,14.84%,,20.29%,0.00%,26.54%,
2015-05-01,2015-05-31,Bergen County,NJ,Condo,"$236,750.00",,"$475,000.00",,$254.56,,$261.89,,122,,95,,265,,8,,91,,95.33%,,10.66%,,17.28%,0.00%,16.84%,
2015-05-01,2015-05-31,Bergen County,NJ,Multi-Family (2-4 Unit),"$392,000.00",,"$475,000.00",,$180.96,,$261.89,,47,,53,,122,,9,,114,,95.29%,,17.02%,,17.10%,0.00%,26.42%,
2015-05-01,2015-05-31,Bergen County,NJ,Single Family Residential,"$461,000.00",,"$475,000.00",,$236.90,,$261.89,,494,,671,,1218,,7,,60,,96.61%,,16.40%,,22.26%,0.00%,28.61%,
2015-05-01,2015-05-31,Bergen County,NJ,Townhouse,"$426,000.00",,"$475,000.00",,$243.00,,$261.89,,32,,55,,125,,12,,72,,95.86%,,3.12%,,19.71%,0.00%,18.18%,
2015-06-01,2015-06-30,Bergen County,NJ,All Residential,"$435,000.00",3.57%,"$459,000.00",-3.37%,$246.81,5.21%,$257.28,-1.76%,1010,49.85%,886,1.37%,1546,-10.64%,5,-250.00%,42,-2700.00%,96.95%,0.66%,17.33%,2.49%,21.18%,0.89%,20.43%,-6.12%
2015-06-01,2015-06-30,Bergen County,NJ,Condo,"$240,000.00",1.37%,"$459,000.00",-3.37%,$248.16,-2.51%,$257.28,-1.76%,167,36.89%,139,46.32%,250,-5.66%,6,-240.00%,86,-500.00%,95.29%,-0.04%,7.19%,-3.47%,17.32%,0.04%,10.79%,-6.05%
2015-06-01,2015-06-30,Bergen County,NJ,Multi-Family (2-4 Unit),"$369,500.00",-5.74%,"$459,000.00",-3.37%,$182.10,0.63%,$257.28,-1.76%,61,29.79%,58,9.43%,124,1.64%,7,-170.00%,54,-6000.00%,96.99%,1.70%,29.51%,12.49%,15.58%,-1.53%,18.97%,-7.45%
2015-06-01,2015-06-30,Bergen County,NJ,Single Family Residential,"$469,900.00",1.93%,"$459,000.00",-3.37%,$252.43,6.56%,$257.28,-1.76%,726,46.96%,621,-7.45%,1056,-13.30%,5,-200.00%,35,-2500.00%,97.28%,0.68%,19.83%,3.44%,23.71%,1.45%,22.71%,-5.91%
2015-06-01,2015-06-30,Bergen County,NJ,Townhouse,"$491,500.00",15.38%,"$459,000.00",-3.37%,$257.18,5.84%,$257.28,-1.76%,64,100.00%,68,23.64%,116,-7.20%,6,-610.00%,49,-2300.00%,96.99%,1.13%,3.12%,0.00%,19.11%,-0.59%,20.59%,2.41%
2015-07-01,2015-07-31,Bergen County,NJ,All Residential,"$450,000.00",3.45%,"$429,000.00",-6.54%,$251.80,2.02%,$247.33,-3.86%,1145,13.37%,781,-11.85%,1209,-21.80%,4,-80.00%,45,300.00%,96.62%,-0.33%,17.64%,0.32%,20.41%,-0.76%,15.11%,-5.32%
2015-07-01,2015-07-31,Bergen County,NJ,Condo,"$277,500.00",15.62%,"$429,000.00",-6.54%,$274.49,10.61%,$247.33,-3.86%,159,-4.79%,124,-10.79%,233,-6.80%,6,30.00%,83,-300.00%,94.49%,-0.79%,8.18%,0.99%,16.97%,-0.35%,13.71%,2.92%
2015-07-01,2015-07-31,Bergen County,NJ,Multi-Family (2-4 Unit),"$392,500.00",6.22%,"$429,000.00",-6.54%,$184.66,1.40%,$247.33,-3.86%,76,24.59%,68,17.24%,92,-25.81%,5,-180.00%,105,5100.00%,94.64%,-2.35%,10.53%,-18.98%,15.83%,0.25%,16.18%,-2.79%
2015-07-01,2015-07-31,Bergen County,NJ,Single Family Residential,"$499,000.00",6.19%,"$429,000.00",-6.54%,$255.05,1.04%,$247.33,-3.86%,857,18.04%,537,-13.53%,813,-23.01%,4,-90.00%,39,400.00%,97.17%,-0.12%,20.19%,0.35%,22.30%,-1.40%,15.83%,-6.88%
2015-07-01,2015-07-31,Bergen County,NJ,Townhouse,"$450,000.00",-8.44%,"$429,000.00",-6.54%,$258.69,0.59%,$247.33,-3.86%,55,-14.06%,52,-23.53%,71,-38.79%,7,40.00%,45,-400.00%,96.95%,-0.04%,16.36%,13.24%,20.15%,1.04%,9.62%,-10.97%
2015-08-01,2015-08-31,Bergen County,NJ,All Residential,"$460,000.00",2.22%,"$430,000.00",0.23%,$249.83,-0.78%,$257.87,4.26%,989,-13.62%,605,-22.54%,1018,-15.80%,5,50.00%,51,600.00%,96.77%,0.15%,15.98%,-1.67%,17.38%,-3.04%,16.20%,1.09%
2015-08-01,2015-08-31,Bergen County,NJ,Condo,"$267,000.00",-3.78%,"$430,000.00",0.23%,$272.53,-0.71%,$257.87,4.26%,133,-16.35%,95,-23.39%,216,-7.30%,7,120.00%,80,-300.00%,94.98%,0.49%,4.51%,-3.66%,14.33%,-2.64%,12.63%,-1.08%
2015-08-01,2015-08-31,Bergen County,NJ,Multi-Family (2-4 Unit),"$395,000.00",0.64%,"$430,000.00",0.23%,$191.96,3.96%,$257.87,4.26%,71,-6.58%,45,-33.82%,80,-13.04%,5,20.00%,59,-4600.00%,97.21%,2.57%,30.99%,20.46%,14.57%,-1.26%,33.33%,17.16%
2015-08-01,2015-08-31,Bergen County,NJ,Single Family Residential,"$493,000.00",-1.20%,"$430,000.00",0.23%,$251.69,-1.32%,$257.87,4.26%,725,-15.40%,435,-18.99%,659,-18.94%,4,50.00%,45,600.00%,97.01%,-0.15%,16.83%,-3.36%,19.05%,-3.25%,15.63%,-0.20%
2015-08-01,2015-08-31,Bergen County,NJ,Townhouse,"$580,000.00",28.89%,"$430,000.00",0.23%,$260.49,0.69%,$257.87,4.26%,60,9.09%,30,-42.31%,63,-11.27%,6,-80.00%,53,800.00%,97.23%,0.28%,13.33%,-3.03%,17.07%,-3.09%,10.00%,0.38%
2015-09-01,2015-09-30,Bergen County,NJ,All Residential,"$412,000.00",-10.43%,"$449,000.00",4.42%,$242.70,-2.86%,$260.72,1.11%,826,-16.48%,560,-7.44%,1180,15.91%,6,100.00%,59,800.00%,97.60%,0.83%,8.96%,-7.02%,24.90%,7.52%,19.29%,3.09%
2015-09-01,2015-09-30,Bergen County,NJ,Condo,"$247,500.00",-7.30%,"$449,000.00",4.42%,$244.62,-10.24%,$260.72,1.11%,122,-8.27%,106,11.58%,208,-3.70%,8,40.00%,78,-200.00%,95.91%,0.93%,0.82%,-3.69%,21.64%,7.31%,16.04%,3.41%
2015-09-01,2015-09-30,Bergen County,NJ,Multi-Family (2-4 Unit),"$375,500.00",-4.94%,"$449,000.00",4.42%,$186.11,-3.05%,$260.72,1.11%,71,0.00%,38,-15.56%,74,-7.50%,5,-10.00%,77,1800.00%,96.06%,-1.15%,9.86%,-21.13%,18.59%,4.03%,18.42%,-14.91%
2015-09-01,2015-09-30,Bergen County,NJ,Single Family Residential,"$445,000.00",-9.74%,"$449,000.00",4.42%,$246.25,-2.16%,$260.72,1.11%,581,-19.86%,385,-11.49%,804,22.00%,5,120.00%,51,600.00%,98.02%,1.00%,11.02%,-5.81%,27.26%,8.21%,20.52%,4.89%
2015-09-01,2015-09-30,Bergen County,NJ,Townhouse,"$509,000.00",-12.24%,"$449,000.00",4.42%,$267.78,2.80%,$260.72,1.11%,54,-10.00%,31,3.33%,94,49.21%,7,100.00%,88,3500.00%,97.77%,0.54%,3.70%,-9.63%,24.23%,7.17%,16.13%,6.13%
2015-10-01,2015-10-31,Bergen County,NJ,All Residential,"$400,000.00",-2.91%,"$429,000.00",-4.45%,$247.56,2.00%,$255.44,-2.02%,830,0.48%,500,-10.71%,1095,-7.20%,6,-10.00%,65,600.00%,98.70%,1.11%,8.19%,-0.77%,30.43%,5.53%,19.40%,0.11%
2015-10-01,2015-10-31,Bergen County,NJ,Condo,"$250,000.00",1.01%,"$429,000.00",-4.45%,$283.04,15.71%,$255.44,-2.02%,169,38.52%,86,-18.87%,180,-13.46%,5,-250.00%,66,-1200.00%,98.23%,2.32%,2.96%,2.14%,29.42%,7.79%,8.14%,-7.90%
2015-10-01,2015-10-31,Bergen County,NJ,Multi-Family (2-4 Unit),"$365,000.00",-2.80%,"$429,000.00",-4.45%,$186.69,0.31%,$255.44,-2.02%,55,-22.54%,35,-7.89%,95,28.38%,7,180.00%,53,-2400.00%,98.15%,2.08%,14.55%,4.69%,17.44%,-1.15%,25.71%,7.29%
2015-10-01,2015-10-31,Bergen County,NJ,Single Family Residential,"$435,000.00",-2.25%,"$429,000.00",-4.45%,$247.56,0.53%,$255.44,-2.02%,560,-3.61%,349,-9.35%,742,-7.71%,5,10.00%,64,1300.00%,98.86%,0.84%,9.82%,-1.19%,32.80%,5.54%,20.63%,0.11%
